,assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
33,1063259,164642,Naja oxiana,Near Threatened,A2c,2021,2016-04-05 00:00:00 UTC,3.1,English,"Listed as Near Threatened because, although this species is inferred to have undergone a historical population decline, potentially exceeding 30%, resulting from overexploitation, shrinkage in distribution, and habitat destruction and degradation, the heaviest exploitation has largely ceased since the 1990s, and so any decline is likely to have taken place more than three generations in the past. However, the decline due to loss of habitat is ongoing and is likely to be close to the threshold for Vulnerable.","It is widespread in arid habitats and can be found in rocky areas with dry shrubland (Latifi 1991), and sand dunes (N. Orlov pers. comm. September, 2008). In inhabited areas it will often enter houses in search of rodent prey (Khan 2006). It is an oviparous species that lays between eight and twelve eggs (Latifi 1991). Generation length appears not to have been documented, but for similarly-sized cobras three generations are typically in the region of 16-18 years.","The major threat to this species is the over-collection of animals for their use in anti-venom production, with many thousands of animals captured for this (G. Nilson, N. Ananjeva and N. Orlov pers. comm. September 2008); this may, however, have ceased in the mid-1990s in at least part of the snake's range. Collection of animals has been recorded from protected areas throughout the species range; declines have been reported for at least three of the species' eight range states, and are also thought likely to be ongoing in Pakistan and Tajikistan. While it may not be declining in Afghanistan, its distribution here is moderately limited. It is additionally threatened in parts of Middle Asia, through the conversion of land to the production of cotton and other agricultural uses; as a dryland species it will not tolerate areas given over the production of water-intensive crops like cotton. Subpopulations in Central Asian sandy desert are in a ""more favourable"" situation (Ananjeva <em>et al. </em>2006).","The Red Data Book of the USSR (1978) indicated that at this time its total estimated population in the country (representing most of its Central Asian range) was around 350,000, with densities reaching 1-1.5 individuals per hectare in favourable habitat. Evidence from throughout this region suggests that the species is undergoing widespread, significant declines in much of its range. Although it is not rare in Turkmenistan, it was once very common and is now in significant decline (N. Ananjeva and N. Orlov pers. comm. September 2008); this is also thought to be the case in Uzbekistan (Cnemonics International 2001). Declines are ongoing in this country (E. Rustamov pers. comm. 2017). The species is also declining in Iran (G. Nilson pers. comm. September 2008). Although it is probably not declining in Afghanistan, it is expected that the species is also declining in Pakistan (T. Papenfuss pers. comm. September 2008). &#160;There has been an extensive trade in snakes in Tajikistan over the 20 years since independence; while there is no data on the status of this species in Tajikistan, it may well be undergoing decline here as well (T. Sattorov pers. comm. 2016). Throughout its distribution declines are being driven by overharvesting for venom extraction, and secondarily by agricultural conversion. This is a very rare species in India.",Decreasing,"This Middle and Central Asian species ranges from the eastern shore of the Aral Sea east to northwestern India, and north to the Nura-Tau and Bel'-Tau-Ata mountain ranges and the western spurs of the Turkestansky range (Ananjeva <em>et al.</em> 2006). It is found in northeastern Iran, Turkmenistan (where it is widespread except for the extreme northwest), Uzbekistan, southwest Tajikistan, Afghanistan, Pakistan and northwestern India. Within Iran, this species is known from Khorasan Province, Mazandaran Province and Seman Province (Latifi 1991). In Pakistan, this species is present in Northwest Frontier Provinces, and northeastern Baluchistan (Minton 1966). The easternmost historical records are from Punjab, Jammu and Kashmir.","This species was at least historically heavily collected for medicinal use, primarily for antivenin. This activity largely ceased at least in the former Soviet territories (based on available information from Takijistan, Turkmenistan and Uzbekistan) in the mid-1990s. There is no report of trade in India, but this is a very rare species in this country and information is limited.",Terrestrial,"There are many protected areas within the Middle Asian part of the species range, and there are a number of protected areas within the species Iranian range. Nevertheless this species faces a primary threat from overcollection, and harvesting has been reported from protected areas. The species is included within the Red Data Books of Uzbekistan and the former Soviet Union. It was formerly included in the Red Data Book for Turkmenistan, and the reasons for its removal from the 2011 edition are not clear as none of the pressures affecting this species have ceased. There is a need to better regulate collection of animals. Subpopulations should be monitored to record changes in abundance and distribution. This species is included in Appendix II of CITES.",Indomalayan|Palearctic,,False,False,Global
51,1071806,164733,Eryx johnii,Near Threatened,,2021,2019-09-05 00:00:00 UTC,3.1,English,"Although a widespread species, it is listed as Near Threatened as it is suspected to be in significant global decline (but at a rate of less than 30% over ten years) because it is being over-harvested for the pet trade and traditional medicine, making the species close to qualifying for Vulnerable.","It is a generally nocturnal and fossorial species found in flat desert with loose clay soil and sparse grasses. It can be found in sandy deserts and similar open areas with loose soil, although it is less common in these habitats (Minton 1966, Latifi 1991, Khan 2006), and is also rare on stony and damp soils (Khan 2006). In India it is also found in dry deciduous forest and scrub (Srinivasulu), and moist lowland forest in the northern Western Ghats (R. Vyas pers. comm. 2019). It can be found in a wide variety of modified habitats. In India, the females bear 6–14 live young around June and September; in Pakistan much smaller litters, of 2–8 animals born from April to June, have been reported (Khan 2006). Recorded prey items include Hardwicke's spiny-tailed lizard (<em>Saara hardwickii</em>) (Pardeshi <em>et al</em>. 2008).","In India, the species is threatened by illegal overcollection for the pet trade and for its use in traditional medicines in China and Southeast Asia, as well as in India itself. It is a highly prized species in traditional remedies for skin disease (Subramanean and Reddy 2012). This collection, while illegal, is largely uncontrolled and may be on the increase, as market prices have increased drastically due to recently established beliefs that the snake acts as a lucky charm or has supernatural powers (TRAFFIC Post 2011). The species is also subject to deliberate persecution (Balakrishan 2010). The region where it occurs in Afghanistan is sparsely populated so it is unlikely to be threatened here, although its range in this country is essentially unknown. Modern agricultural practices, including soil compaction and the use of pesticides and poisons that kill its rodent prey, and which remove areas of natural habitat retained under traditional management, are also likely to threaten this species (C. Srinivasulu and S. Thakur pers. comm. 2019). Harvesting is illegal in Nepal, but illegal poaching from hunters entering the border from India has been reported (S. Bhattarai pers. comm. 2019). Even within peri-urban and semi-urban areas, remnant habitat quality is in decline and development exposes greater numbers of animals to persecution and capture (S. Narayanan pers. comm. 2019). Generation length is thought to be around two years (R. Vyas pers. comm. 2019).","It is common in Pakistan and in west, central and southern India. It is uncommon in Nepal (S. Bhattarai pers. comm. 2019). The species is a human commensal and may benefit to some extent from land use changes that increase the abundance of rodent prey, however, declines have been reported in southern India. Based on researchers' observations, sighting records have declined in some areas, and it is thought that illegal collectors have to put increasing efforts into harvesting animals for trade. It was formerly common in agricultural areas, but now appears to be rare (S. Thakur pers. comm. 2019). Rescue numbers report high numbers of confiscated animals being taken from trade markets (C. Srinivasulu pers. comm. 2019). Population trends in Nepal, where it is encountered in lower numbers than many other snakes, are unclear (S. Bhattarai pers. comm. 2019).",Decreasing,"This species&#160;ranges throughout most of Pakistan, and is present in adjoining parts of eastern Afghanistan and<span style=""""> southeastern I</span>ran (Khan 2006,<span style=""""> Mohammad<em> et al</em>. 2017), ran</span>ging eastward through mainland India (except the northeast). It has been recorded from Nepal, in Chitwan National Park (Bhattarai <em>et al</em>. 2017) and Parsa, in 2012 (Bhattarai <em>et al</em>. 2018), and appears to occur throughout the Terai. In Iran, this species is known only from three specimens collected from Zabol and Sistan va Baluchistan Provinces (Latifi 1991, T. Papenfuss pers. comm. September 2008); it may occur more widely in this country but there are no records yet (K. Milto pers. comm. 2016). It is known from a single locality - ""Mundi, Hissar south of Kandahar"" - in Afghanistan (Wagner <em>et al</em>. 2016). Sindaco <em>et al. </em>(2013) consider the Iranian and Afghan records doubtful, but do not justify this; in contrast T. Papenfuss (pers. comm. 2016) suggests that it is likely to occur throughout the southern third of the country. It is found below 200 m asl (Khan 2006).","In India, this species is traded illegally for national markets (for medicine and snake charmers) and in international markets (including China where it is believed to be an aphrodisiac). In India, it is collected also for the national and international pet trade, where it is in high demand (R. Vyas pers. comm. 2019). Live animals are used in zoo therapy in Pakistan (Khan <em>et al.</em> 2011). It is sold for high prices, indicating high demand, and is sold online. Reports exist of animals having been stolen from zoos (S.R. Ganesh pers. comm. 2019).",Terrestrial,"It is not known if the species is present in any protected areas in Iran. It is present in protected areas in Pakistan, including Nara Desert Wildlife Sanctuary (Ghalib <em>et al. </em>2008). In India, it is protected by Schedule IV of the Wildlife (Protection) Act, 1972 and is found in many protected areas. This species is listed in Appendix II of CITES. The impact of collection subpopulations needs to be monitored to clarify the impacts of collection, and systematic efforts are needed to quantify rates of decline.",Indomalayan|Palearctic,,False,False,Global
130,1349564,172600,Hemidactylus anamallensis,Near Threatened,,2013,2010-08-25 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Hemidactylus anamallensis</span> is restricted to the southern Western Ghats recorded from ten sites south of the Palghat Gap and one north of it. The extent of occurrence of this species is about 12,000 km<sup>2</sup>. This species is locally abundant and has also been observed in human-disturbed habitats, however, decline in habitat quality due to conversion of forests for commercial plantations and indiscriminate use of pesticides is perceived as possible threat. Hence this species is listed as Near Threatened, on the basis that it comes close to qualifying for listing as Vulnerable applying Criteria B1ab(iii), however, it is currently thought to experience at most limited declines in the extent and quality of its habitat and so is not considered at any significant risk of extinction at this stage.","<span style=""font-style: italic;"">Hemidactylus anamallensis</span> has been reported from evergreen forests in the hilly regions of the Western Ghats of Tamil Nadu and Kerala. &#160;It is found under rocks, on walls of tourist facilities and other buildings in forest and plantations, and under tree bark. Nothing else is known about the ecology of this species.","It is expected that habitat fragmentation due to conversion of forests into commercial plantations may negatively impact this lizard's population. Habitats where this lizard has been reported might have suffered degradation due to anthropogenic activities, including use of pesticides in commercial plantations.","This gecko is locally abundant within its range, but nothing is known about population trends<span style=""font-style: italic;"">.</span>",Unknown,"<span style=""font-style: italic;"">Hemidactylus anamallensis</span> is endemic to the Western Ghats, where it occurs both north and south of Palghat Gap. It has been recorded from Agastyamalai, Kottaimalai, Anaimalai Hills, Kalakkad-Mundanthurai Tiger Reserve, Munnar, Palani Hills (Smith 1935, Ishwar <span style=""font-style: italic;"">et al. </span>2001, Sharma 2002, S. Sondhi in litt. 15 January 2011, S.R. Ganesh pers. comm. March 2011), and from one location in Wyanad, north of the Palghat Gap. It has been found at elevations between 800 and 2,094 m asl. It has an estimated extent of occurrence of 12,000 km<sup>2</sup>.",The species is not in use.,Terrestrial,"<p>There are no known species-specific conservation measures in place. <span style=""font-style: italic;"">H</span><em>emidactylus anamallensis </em>is now known from multiple protected areas from the hilly regions of Western Ghats of Tamil Nadu and Kerala. It has been recorded in Kalakkad-Mundunthurai Wildlife Sanctuary in Tamil Nadu (Ishwar <span style=""font-style: italic;"">et al. </span>2001), and Eravikulam National Park in Kerala (A. Roy pers. comm. March 2011). Further surveys are needed to establish its distribution, and also initiate actions to conserve this endemic species through awareness campaigns among the stakeholders. Research is needed to verify that the population north of the Palghat Gap is conspecific with remaining populations of <em>H. anamallensis</em>.</p>",Indomalayan,,False,False,Global
133,1350155,172603,Cnemaspis sisparensis,Near Threatened,,2013,2010-09-01 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Cnemaspis sisparensis</span>  is known from five localities in the Western Ghats of Kerala and Tamil Nadu, with a total extent of occurrence is approximately 5,000 km<sup>2</sup>. It is therefore close to qualifying for listing as Endangered applying Criterion B1ab(iii). However, although there have been declines in forest quality and extent at known sites, it is not clear whether this is impacting the species and one of the known localities is within a secure protected area. It is therefore assessed as Near  Threatened, and further research is required to determine whether it warrants listing in a more threatened category. <span style=""font-style: italic;""></span>","<span style=""font-style: italic;"">Cnemaspis sisparensis </span>is known from tropical evergreen forests to mixed dry deciduous forests. It is a fast-moving diurnal species being mostly active during dawn and dusk. It has been reported to inhabit rocky streambeds in forested tracts. It is solitary in nature (Mukherjee <span style=""font-style: italic;"">et al. </span>2005).","<p>Nothing is known about the specific threats to this species. However, the hill ranges from where the species is known are facing a decline in quality of habitat due to tourism related development activities.</p>","Since its type description from Sispara Ghat in Mukurthi National Park, Tamil Nadu, <span style=""font-style: italic;"">Cnemaspis sisparensis</span> was known elsewhere only from Kavalai, Thrissur, Kerala (Smith 1935), until recently when it was reported from Amarambalam Reserve Forest, Malappuram district, Kerala (Bauer 2002) and Anaikatti Hills, Coimbatore district, Tamil Nadu (Mukherjee <span style=""font-style: italic;"">et al.</span> 2005). The population status of this species is unknown.",Unknown,"<span style=""font-style: italic;"">Cnemapsis sisparensis</span> is endemic to the Western Ghats, India and is known only from four sites, namely, Sholakal at Sispara Ghat southwest of Mukurthi National Park, Nilgiris (Smith 1935), Anaikatti Hills, Coimbatore (Mukherjee <span style=""font-style: italic;"">et al.</span> 2005) in Tamil Nadu; Kavalai, Chalakudi, Thrissur District (Smith 1935), Palakkad, Kerala and Amarambalam Reserve Forest, Malappuram (Bauer 2002) in Kerala. It occurs at elevations between 400 to 1,578 m asl.",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. <span style=""font-style: italic;"">Cnemaspis sisparensis </span>is known from Mukurthi National Park, Tamil Nadu, and Amarambalam Reserve Forest, a proposed wildlife sanctuary in Kerala. In other areas there is a need for  improved habitat protection. Further survey work is needed to determine whether or not this  species is present elsewhere. The record of this species from south of Palghat Gap requires verification.",Indomalayan,,False,False,Global
144,1352766,172616,Cnemaspis heteropholis,Near Threatened,,2013,2010-08-11 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Cnemaspis heteropholis </span>is reported from three locations in Karnataka occupying a range of less than 5,000 km<sup>2</sup>.&#160; Direct threats to the species are unknown but, due to its restricted range, sporadic sightings and possible decline in habitat quality, it is listed as Near Threatened as it almost qualifies for a threatened listing under criterion B1ab(iii).","Found in rocky areas, near streams and culverts. Breeding observed in Agumbe area of Shimoga district, Karnataka state. Juveniles, much brightly coloured than adults (S.R. Ganesh pers. comm. March 2011). Types were collected from 'Bambus teak, Dschungel' in the type locality (Bauer 2002). It seems to be a humid forest dweller (Bauer 2002). In Agumbe Rainforest Research Station in Shimoga district, Karnataka, it was observed resting on a mesh fence (Ganesh <span style=""font-style: italic;"">et al.</span> in press). &#160;It forages in rock formations, on mud walls with cool shade and hollow tree buttresses (Biswas 2008). &#160;It is reported to have both diurnal and nocturnal activity.","Nothing is known about specific threats to this species. &#160;In Agumbe, some area of the forest has been converted for Areca nut plantations. Collection of non-timber forest produce and firewood has also been observed (R. Sreekar pers. comm. March 2011).","Breeding population observed and documented in Agumbe, Shimoga District, Karnataka. Juvenile observed under rocks near streams and rivulets and associated cave formations in forest areas (R. Sreekar and S.R. Ganesh pers. comm. March 2011). &#160;The type was found in ""bamboo-teak jungle"" according to the collectors (Bauer 2002).",Unknown,"<span style=""font-style: italic;"">Cnemaspis heteropholis </span>is endemic to India and was until recently known only from the type locality, Gund in Uttara Kannada, Karnataka  (Bauer 2002). Apart from its type locality, it is found in Agumbe (Shimoga district, Karnataka state) (Ganesh <span style=""font-style: italic;"">et al.</span> in press; S.R. Ganesh pers. comm. February 2011), and Pushpagiri in Kodagu District, Karnataka (Biswas 2008). This species occurs at the elevation between 480 and 560 m asl.<br/>  <p><br/></p>",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. <span style=""font-style: italic;"">Cnemaspis heteropholis </span>was until recently known only from the type locality, but since has been sighted in two other localities in Karnataka (Ganesh <span style=""font-style: italic;"">et al. </span>in press). Further surveys are needed to establish its existence and distribution.",Indomalayan,,False,False,Global
145,1353329,172619,Cnemaspis nairi,Near Threatened,,2013,2010-09-01 00:00:00 UTC,3.1,English,"<em>Cnemaspis nairi </em>is restricted to an area of less than 10,000 km<sup>2</sup> in extent in the southern Western Ghats, and is known from only five locations. Although it is known from two protected areas and it is unclear whether anthropogenic activities pose a threat to this species, forest habitats from which this lizard has historically been reported have undergone modification and development is ongoing throughout its range. It is therefore listed as Near Threatened as it comes close to meeting the conditions for listing as Endangered under Criterion B1ab(iii), and further research is needed to determine whether this species warrants listing in a more threatened category.","The type series has been collected in dry deciduous forests near Ponmudi, Thiruvanthapuram district, Kerala in dry leaf-litter on the ground (Inger <span style=""font-style: italic;"">et al.</span> 1984), in tree holes in wet evergreen forests (S. Pal pers. comm. March 2011), and walls of buildings and rocks (Chandramouli and Ganesh 2010). It is a  diurnal species.","<p>Nothing is known about the specific threats to this species. However, the hill ranges from where the species is known are facing a decline in quality of habitat due to anthropogenic activities including construction of houses and related infrastructure developments, but it is not certain if these impact the species or not.</p><p>  </p><p><br/></p>     <p></p>","<p>This species is reported as uncommon in the type locality (Inger <span style=""font-style: italic;"">et al. </span>1984). Nothing else is known about its population.<br/></p><p><br/></p>",Unknown,"<em>Cnemaspis nairi </em>is endemic to India and was until recently known only from the type locality Ponmudi, near Thiruvananthapuram, Kerala, India (Inger <span style=""font-style: italic;"">et al.</span>1984). &#160;There are recent sightings of this species in Cardamom Hills, Thiruvananthapuram District (S.R. Ganesh in litt. 10 January 2011), Peppara Wildlife Sanctuary, Thiruvananthapuram District (S. Pal pers. comm. March 2011) in Kerala, and Silambu Estate, Highwavy Mountains, Theni District and Sithanthu Kavu, Srivilliputhur Grizzled Giant Squirrel Sanctuary, Virudunagar District (S.R. Ganesh in litt. 10 January 2011) in Tamil Nadu. It occurs at elevations between 600 and 1,400 m asl.",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. <span style=""font-style: italic;"">Cnemaspis nairi </span>is known from two protected areas namely Peppara Wildlife Sanctuary, Kerala and Sriviliputhur Grizzled Giant Squirrel Sanctuary, Tamil Nadu. Further survey work is needed to determine whether or not this  species is present elsewhere and whether construction or any other pressures on its forest habitat represent threats to its survival.",Indomalayan,,False,False,Global
149,1354137,172623,Trimeresurus macrolepis,Near Threatened,,2013,2010-08-14 00:00:00 UTC,3.1,English,"<p>Listed as Near Threatened as its extent of occurrence is estimated to be about 18,000 km<sup>2</sup>, presence from four locations and 13 sites of which some are under influence of threat due to tourism-related activities, but there does not appear to be any evidence for continuing decline. Hence almost qualifies as threatened under criterion B1ab(iii).</p><br/><span style=""font-style: italic;""></span>","<span style=""font-style: italic;"">Peltopelor macrolepis </span>occurs&#160;in    semi evergreen hill forest and shola patches. It is  reported to be common in commercial plantations including tea,  cardamom and coffee. It is a nocturnal and mostly arboreal and has been  noted to  feed on small  rodents, birds and frogs which it catches by ambush (Whitaker and Captain 2004). It has been reported to cause many bites to humans working in tea and cardamom plantations (Whitaker 1973, Whitaker and Captain 2004).","It is one of the most frequently encountered roadkill species in the Anamalai Hills (Vijaykumar <span style=""font-style: italic;"">et al. </span>2001). It is killed by people when it is encountered.<span style=""font-style: italic;""><br/></span>","This species has been reported to be uncommon in some areas, but appears to be common in plantations. It occurs in densities of one individual per 2 km<sup>2 </sup>(Ganesh <span style=""font-style: italic;"">et al</span>. 2010).",Unknown,"<span style=""font-style: italic;"">Peltopelor macrolepis </span>is endemic to India and <span style=""font-style: italic;""></span>is  known only in the Western Ghats from the Nilgiri Hills to Ashambu and Agasthyamalai Hills in Kerala and Tamil Nadu (Whitaker and Captain 2004). It is found at elevations between 610 and 2,400 m asl.",The species is not in use.,Terrestrial,"It is listed on Schedule IV of the Wildlife (Protection) Act, 1972. In its range it occurs in  many protected areas, including Nilgiri Biosphere Reserve, Anamalai Tiger Reserve and Kalakkad-Mundanthurai Tiger Reserve in Tamil  Nadu and Eravikulam National Park in Kerala.  Further survey work is needed to understand  its biology, ecology,  population status  and trends.",Indomalayan,,False,False,Global
172,1359593,172652,Eryx whitakeri,Near Threatened,A2d,2021,2019-09-05 00:00:00 UTC,3.1,English,"Listed as Near Threatened because this species is restricted in distribution to Western Ghats and also due to significant suspected decline as a result of collection (but at a suspected rate of less than 30% over ten years) because it is being  over-harvested for the pet trade and traditional medicine, making the  species close to qualifying for Vulnerable.<span style=""font-style: italic;""></span>","This species<span style=""font-style: italic;"">&#160;</span>has been collected from coastal habitats of Goa to semi evergreen hill forest in the Western Ghats (but mainly in coastal areas - Khaire 2006). It is nocturnal and, while subfossorial, has been observed to climb well. It feeds on mice and Brook's Gecko in captivity, and there is one record of an animal preying on a vine snake (Lobo and Sreepada 2015). Up to 12 live young are born from June to August (Whitaker and Captain 2004). Lobo and Sreepada (2015) report up to 17 in captivity.","<span lang=""EN-US"">Illegal collection of this species from wild for multiple purposes, principally traditional medicine and local beliefs, might pose a direct threat to this snake. Collectors appear to go to greater effort to obtain specimens than was previously the case (S. Molur pers. comm. 2013), suggesting that it may be becoming rarer or restricted to less accessible areas.","<span lang=""EN-US"">This is an uncommon species known from a few localities. This species’ population has been reported to be declining in some areas, and it is thought that illegal collectors have to put increasing efforts into collecting animals for trade.",Decreasing,"This snake is endemic to the Western Ghats, India and is known from Lonavala within Pune, Maharashtra, to Sathyamangalam, Tamil Nadu (Das 1991, Whitaker and Captain 2004, Gowrishankar pers. comm. 28 February 2011). It is found from sea level to 950 m asl.","It is collected for medicinal purposes, pets, display animals (snake parks and snake charmers) and through a local belief&#160; that the species will lead a person to treasure. Numbers in trade have, however, not been quantified, but it is thought likely that collection is ongoing at a roughly stable rate.",Terrestrial,"<span style="""">The species is listed in CITES Appendix II. T</span>here are no known species-specific conservation measures in place for this species. It has been recorded from three protected areas. Further survey work is needed to understand its biology, ecology, population status and trends, and threats. There is an urgent need to check illegal poaching of this species for use in traditional medicine.",Indomalayan,,False,False,Global
182,1361832,172662,Cnemaspis ornata,Near Threatened,,2013,2010-09-01 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Cnemaspis ornata </span>is known from both sides of Palghat Gap in the Western Ghats of Tamil Nadu and Kerala. The total extent of occurrence is just larger than 20,000 km<sup>2</sup>. The quality of forest habitat in areas from which this species is known is declining and is expected to result in rapid declines in this gecko, which is mainly associated with closed forest. It is assessed as Near Threatened on the basis that it is close to meeting the threshold for listing as Vulnerable under Criterion B1ab(iii), however, it occurs at more than ten locations and the population is not considered to be severely fragmented.","Most specimens have been found in reasonably well-preserved closed forests at high altitudes and Smith (1935) mentions of a specimen being collected from underneath a rock in ""dry jungles"".&#160; It is a diurnal species and nothing is known about its reproductive biology.","<p>  </p>Nothing is known about the specific threats to this species. However,  the hill ranges from where the species is known are facing a decline in  the quality of habitat due to activities related to infrastructure developments and tourism.     <p></p>","Nothing is known about the population status of <span style=""font-style: italic;"">Cnemaspis ornata</span>, but due to pressures on its forest habitat the population is presumed to be declining.",Decreasing,"<span style=""font-style: italic;"">Cnemaspis ornata</span> is endemic to Western Ghats, India and is known from hilly regions of southern Western Ghats of Kerala and Tamil Nadu (Smith 1935, Cherian <span style=""font-style: italic;"">et al.</span> 2000, Ishwar <span style=""font-style: italic;"">et al</span>. 2001, Biswas and Ishwar 2006, S.R. Ganesh in litt. 10 January 2011).&#160; It occurs at elevations between 50 to 1,400 m asl.<br/><br/><br/><em></em>",<p>The species is not in use.</p>,Terrestrial,"There are no known species-specific conservation measures in place for this species. <em>Cnemaspis ornata </em>is known from sites that are in the existing protected area namely Kalakkad-Mundanthurai Tiger Reserve, Tamil Nadu. This species could be more continuously distributed within its range, hence, there is a need to establish its distribution.",Indomalayan,,False,False,Global
183,1362030,13264817,Eryx conicus,Near Threatened,A2d,2021,2019-09-05 00:00:00 UTC,3.1,English,"Listed as Near Threatened because this species is suspected to be in significant global decline  (but at a rate of less than 30% over ten years) because it is bei<span style="""">ng regionally </span>over-harvested for the pet trade and traditional medicine, making the  species close to qualifying for Vulnerable.<span style=""font-style: italic;""></span>","Primarily nocturnal but is also active by day. It is found in varied habitat types from dry arid areas to areas where the annual rainfall is about 381 cm and the soil supports luxuriant vegetation (Daniel 2002, Whitaker and Captain 2004). It can be found close to human habitats including agricultural fields and gardens. It uses other species' burrows that allow it to ambush prey. It shelters in deep cracks, rat burrows and piles of rocks or bricks. It feeds on rodents, lizards, amphibians and ground feeding birds. Cannibalistic behaviour has also been observed in this snake (D'Abreu 1915). It is a viviparous snake. The breeding season extends from November to January after which 6–8 young are born from May to August (Daniel 2002, Whitaker and Captain 2004).","This snake is under some pressure due to trade both locally as well as for the international market. Numerous individuals are collected for the pet and skin trade or killed due to prevalent traditional beliefs. It is often mistaken for a venomous species and killed. Harvesting is illegal in Nepal, but illegal poaching targeting sand boas from hunters entering the border from India has been reported (S. Bhattarai pers. comm.). The species is likely to be relatively secure within protected areas in this country (S. Bhattarai pers. comm.). Modern agricultural practices, including soil compaction and the use of pesticides and poisons that kill its rodent prey, and which remove areas of natural habitat retained under traditional management, are also likely to threaten this species (C. Srinivasulu and S. Thakur pers. comm.). Even within peri-urban and semi-urban areas, remnant habitat quality is in decline and development exposes greater numbers of animals to persecution and capture (Narayanan pers. comm.). Generation length is thought to be around two years (R. Vyas pers. comm.). In Sri Lanka, the main threat is development of coastal areas.","It is a common species in India, with population declines reported from its range in southern India. It is thought that illegal collectors have to put increasing efforts into collecting animals for trade as a consequence of its greater scarcity. The population status in Nepal is unclear. It was formerly common in agricultural areas, but now appears to be rare (S. Thakur pers. comm. 2019). Encounter rates have decline in semi-urban and peri-urban areas have declined over a period of around a decade (C. Srinivasulu pers. comm.). In Sri Lanka it is uncommon and the populations are fragmented.",Decreasing,"This snake is found in Bangladesh, India, Pakistan, Nepal (in the Terai, including Chitwan National Park [Bhattarai <em>et al.</em> 2017], Parsa National Park [Bhattarai <em>et al. </em>2018] and Bardia National Park [Bhattarai, unpubl.] and Shuklaphanta National Park [Shah and Tiwari 2004]) and the northern and southeastern arid region of Sri Lanka (Whitaker and<span style=""""> Captain</span> 2004). In India, it is distributed throughout the country except the northeast and the Andaman and Nicobar Islands. This is a lowland species in Nepal, with records from Chitwan at around 300 m (S. Bhattarai pers. comm. 2019). Sri Lankan records are known from Chavakachcheri, Jaffna, Kudavelai, Mahiyangana, Mannar, Matara, Palatupana, Panama and Trincomalee (Da Silva 2009). The northernmost Indian locality is Katarniaghat Wildlife Sanctuary (Das <em>et al</em>. 2012).","This species is illegally exported for the international pet trade, although it is more aggressive than the related <em>Eryx johnii </em>and so likely to be less desirable (R. Vyas pers. comm.). It is also collected illegally for the skin trade and by snake charmers, to whom it is desirable due to a local myth that it has two heads. This species is persecuted due to prevalent traditional beliefs. It is less heavily exploited than the related <em>E. johnii </em>due to a local belief that it is less likely to generate wealth for the owner. At least in one temple in Gujarat, the species is revered as sacred and animals captured in the nearby area are kept alive in captivity.",Terrestrial,"It is listed on CITES Appendix II.&#160;In India, this species is included in Schedule IV of the Wildlife (Protection) Act 1972, but is not covered by any legislation in Nepal (S. Bhattarai pers. comm.). In its range it occurs in many protected  areas and reserve forests.  Further survey  work is needed to understand its biology, ecology,  population status and  trends <span style="""">and impacts of threats.</span> A previous assessment of this species in 1998 determined that the species warranted listing as Lower Risk-Near Threatened ""based on informal field sightings, distribution and literature records"" (de Silva 2009).<span style=""font-style: italic;""></span>",Indomalayan,,False,False,Global
