,assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
123,1348091,172592,Cnemaspis indraneildasii,Vulnerable,B1ab(iii),2013,2010-08-11 00:00:00 UTC,3.1,English,"<em><em>Cnemaspis indraneildasii&#160;</em></em>is endemic to the northern Western Ghats with an extent of occurrence of approximately 12,000 km<sup>2&#160;</sup>encompassing about eight sites. The habitat where this species occurs is undergoing continuing decline in quality due to tourism and agriculture related activities, hence it is assessed as Vulnerable. &#160;There is a need to validate the populations south of Palghat gap as well as the record from Nilgiris.","<span style=""font-style: italic;"">Cnemaspis indraneildasii </span>is known from both disturbed and undisturbed tracts of forests in the Western Ghats, India. From Anshi National Park, Karnataka this day gecko has been reported to nest communally near stream beds in rocky areas; eggs are white to off-white in colour, translucent and longer than wide (Biswas and Ishwar 2006).","<p>Nothing is known about the specific threats to this species. However, the hill ranges from where the species is known are facing a decline in quality of habitat due to tourism related infrastructure development activities and agriculture and these probably impact the species.</p>","Nothing is known about population of this species. It is reported to be common in some areas such as Anshi National Park, Karnataka (Bauer 2002, Biswas and Ishwar 2006).",Unknown,"<span style=""font-style: italic;"">Cnemaspis indraneildasii</span> is endemic to India and is known from four sites sites in Karnataka, one site in Tamil Nadu, two sites in Kerala and one site in Maharashtra (Das and Whitaker 1990, Zacharias 1997, Das and Bauer 2000, Bauer 2002, Biswas and Ishwar 2006, Ganesh <span style=""font-style: italic;"">et al.</span> 2006). &#160;The southern localitites, namely, Nilgiri Hills (Das and Bauer 2000), Periyar (Zacharias 1997) and Nadukani (Das and Whitaker 1990), need confirmation. It occurs at elevations of 500 to 1,000 m asl.<em></em>",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species.&#160;<span style=""font-style: italic;"">Cnemaspis indraneildasii</span>&#160;is known from the existing protected area network as well as reserve forests. This species could be more continuously distributed than current records indicate, hence there is a need to establish its distribution. &#160;The populations purportedly reported south of Palghat Gap and the Nilgiris need taxonomic re-evaluation.",Indomalayan,,False,False,Global
137,1350974,172607,Oligodon brevicauda,Vulnerable,B1ab(iii),2013,2011-03-01 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;""></span>Listed as Vulnerable because its extent of occurrence is less than 7,000 km<sup>2</sup>, it is known from only four localities (each considered a separate location based on a threat from conversion of its habitat to plantations), and there is continuing decline in the extent and quality of its habitat.","<span style=""font-style: italic;"">Oligodon brevicauda </span>was reportedly collected from the semi-evergreen to evergreen hill forest in the Western Ghats. It is not been recorded from any modified habitats. Nothing else is known about its habitats and ecology.","Habitat fragmentation is occurring in the region where the species is found, resulting from conversion of forest to tea, coffee and rubber plantations.","Little is known about the population of this species. It is known recently from only a single record, and is considered one of the rarest colubrid snakes in India.",Unknown,"<span style=""font-style: italic;"">Oligodon brevicauda&#160;</span>is endemic to the Western Ghats (India)<span style=""font-style: italic;""> </span>and is  known only from the Nilgiri Hills and Anaimalai Hills in Tamil Nadu, from Peermade Hills in Kerala (Boulenger 1894), and recently from Sengaltheri, Kalakkad-Mundunthurai Tiger Reserve, Tamil Nadu (V. Deepak pers. comm. 2011). It is  mostly reported based on four specimens collected historically from these areas, with a single recent sighting from Sengaltheri. It is found at elevations of 350 to 1,250 m asl.",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. <span style=""font-style: italic;"">Oligodon brevicauda </span>is one of the  rarest endemic colubrids in India. It has been recorded from the Sengaltheri, Kalakkad-Mundunthurai Tiger Reserve. Further survey work is needed to understand its distribution,  biology, ecology, population status and trends.",Indomalayan,,False,False,Global
142,1352126,172612,Melanophidium bilineatum,Vulnerable,B1ab(iii),2013,2010-08-19 00:00:00 UTC,3.1,English,"<span lang=""EN-US""><em>Melanophidium bilneatum</em><span lang=""EN-US""> is listed as Vulnerable as the species has a restricted distribution occurring in four localities (=locations) where a decline in habitat quality and extent has been observed. The extent of occurrence of this species is approximately 18,000 km². There is no information on population size and trends, but recent surveys have failed to detect the species despite high effort.</span>",This species occurs in wet evergreen forests. It is likely nocturnal and fossorial.,"<span lang=""EN-US"">The habitat quality at the sites from where the species has been observed is declining due to tourism-related developmental activities and also due to vehicular traffic (S.P. Vijayakumar pers. comm. 2011).",Nothing is known about the population of this species. Intensive surveys in Anaimalai and Agasthyamalai Hills suggest that this species is rare (S.P. Vijayakumar pers. comm. 2011) and recent surveys have not yielded sightings of this species despite focused efforts (S.R. Ganesh pers. comm. 2011).,Unknown,"<span style=""font-style: italic;"">Melanophidium bilineatum </span>is endemic to the Western Ghats, India and is <span style=""font-style: italic;""></span>known from four sites in the southern Western Ghats (Smith 1943, Vijayakumar <span style=""font-style: italic;"">et al. </span>2001, Kumar <span style=""font-style: italic;"">et al.</span> 2002). It occurs at elevations between 700 and 1,100 m asl.",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. <span style=""font-style: italic;"">Melanophidium bilineatum </span>is    known   from the Indira Gandhi National  Park and Kalakad Mundunthgurai Tiger Reserve in Tamil Nadu and the adjacent Wayanad hills in Kerala and also from Periya and Tirrhioot peaks west of Mananthavady in Kerala, India. As this  species is known only from four sites, research is needed to  establish its distribution, and population size and trends.",Indomalayan,,False,False,Global
148,1353945,172622,Uropeltis phipsonii,Vulnerable,B1ab(iii),2013,2010-08-05 00:00:00 UTC,3.1,English,"<p><span style=""font-style: italic;"">Uropeltis phipsonii </span>is listed as Vulnerable as it has an extent of occurrence which although indeterminate is thought to be below 20,000 km<sup>2</sup>, it is known from fewer than ten (and possibly as few as two) locations defined by threats from deforestation, and there is continuing decline in the quality of its forest habitat resulting from infrastructure development, urban expansion and land clearance for agriculture.</p>","<span style=""font-style: italic;"">Uropeltis phipsonii</span> has been collected from hilly forested tracts (Smith 1943). Recent records are from semi evergreen forests near Pune.","This region where the species occurs is under pressure due to increasing tourism. There is a continuous decline in the quality of habitat from deforestation due to conversion into agriculture and, around Mumbai, from urban development.","Nothing is known about the population status of <span style=""font-style: italic;"">Uropeltis phipsonii</span>.",Unknown,"<span style=""font-style: italic;"">Uropeltis phipsonii </span>is endemic to the Western Ghats, India<span style=""font-style: italic;""> </span>and is  known from Bombay Ghats between Bombay (=Mumbai) and Goa, and to the south up to the Anaimalai   Hills, Coimbatore district, Tamil Nadu (Smith 1943). However, there are no clear locality records. Boulenger (1893) lists Bombay and Deccan (present day Ghats between Mumbai and Pune) in the present day Maharashtra, and North Canara and Biligirirangans in the present day Karnataka. This species has also been reported from Belgaum, Dharwar and Mysore in Karnataka (see Whitaker and Captain 2004) and The Nilgiris, Anamalai Hills and Kanyakumari district (Smith 1943, Vijayakumar <span style=""font-style: italic;"">et al. </span>2001, Whitaker and Captain 2004). Whitaker and Captain (2004) restrict its distribution to hills of Bombay (=Mumbai) and Pune (=Poona) and opin that other records need reconfirmation. Given this uncertainty the snake's extent of occurrence is unclear, but is provisionally considered to be around 16-18,000 km<sup>2 </sup>&#160;following the concept applied by Whitaker and Captain (2004). This species occurs at elevations between 400 and 700 m asl.",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. <span style=""font-style: italic;""></span>This species does not occur in any protected area. <span style=""font-style: italic;"">Uropeltis phipsonii </span>is   known       only from the hills between Mumbai and Poona in the Western Ghats in Maharashtra&#160;  As the reports of its occurrence from other areas south of Poona needs to confirmation of species identity, there  is   an    urgent need to   study its     distribution, and population trends.",Indomalayan,,False,False,Global
155,1355610,172630,Cnemaspis jerdonii,Vulnerable,B1ab(iii),2013,2010-09-01 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;""></span><em><em>Cnemaspis jerdonii&#160;</em></em>is endemic to the Western Ghats, India, where it is known from two locations at risk from agricultural conversion and has an estimated maximum extent of occurrence of just under 20,000 km<sup>2</sup>. The habitats where this species occurs are experiencing an ongoing decline in quality as a result of forest clearance for plantations, thus it is listed as Vulnerable.","Nothing is known about the habitats and ecology of <span style=""font-style: italic;"">Cnemaspis jerdonii</span>. The known localities are from wet and humid forested areas of the Western Ghats.","<p>Nothing is known about the specific threats to this species. However, the hill ranges from where the species is known are facing a decline in quality of habitat due to anthropogenic activities, with much of the forest converted to plantations. The lizard's ability to tolerate this disturbance is unclear in the absence of information on its ecological requirements.</p>","Nothing is known about the population status of <span style=""font-style: italic;"">Cnemaspis jerdonii</span>.",Unknown,"<span style=""font-style: italic;"">Cnemaspis jerdonii</span> is endemic to the Western Ghats, India, where it has been recorded only from Tamil Nadu.&#160; Until recently, the distribution of&#160;<span style=""font-style: italic;"">Cnemaspis jerdonii</span>&#160;was known only from historical records that give its distribution from a few localities in the hilly forested areas of Tamil Nadu (Anaimalai, Nilgiri, Palni and Sivagiri hills) (Smith 1935). It has recently been reported from Kalakkad-Mundunthurai Tiger Reserve (Biswas and Ishwar 2006) and Benne, Mudumalai Wildlife Sanctuary (S.R. Ganesh in litt. 10 January 2011). It has an estimated maximum extent of occurrence, based on these records, of around 20,000 km<sup>2</sup>. It occurs at elevations between 200 to 1,900 m asl.",The species is not in use.,Terrestrial,"<p>There are no known species-specific conservation measures in place for this species. Except for the recent sighting from Kalakkad-Mundunthurai Tiger Reserve in Tamil Nadu (Biswas and Ishwar 2006) and Mudumalai WIldlife Sanctuary (S.R. Ganesh in litt. 10 January 2011)&#160;<span style=""font-style: italic;"">Cnemaspis jerdonii</span> was previously known only from historic records (Smith 1935). It is likely that this species might occur in other areas, hence, there is a need to establish its distribution and to obtain information on this species’ ecology. There is a need to establish whether populations north and south of the Palghat Gap are conspecific.</p>",Indomalayan,,False,False,Global
195,1365866,172680,Cnemaspis indica,Vulnerable,B1ab(iii),2013,2010-08-11 00:00:00 UTC,3.1,English,"<em>Cnemaspis indica </em>is endemic to the Western Ghats, India, where it is known from eight sites and it has an extent of occurrence less than 12,000 km<sup>2</sup>. The sites from where it has been reported from are undergoing decline in habitat quality due to tourism related activities, hence it is assessed as Vulnerable.","Most specimens of <span style=""font-style: italic;"">Cnemaspis indica </span>have been found in wet evergreen forests of Western Ghats. &#160;It was sighted in Sispara among rocks in the grassland of high elevation shola-grassland complex (S. Pal pers. comm. March 2011)<span style=""font-style: italic;""></span>.","Nothing is known about the specific threats to this species. However, the hill ranges from where the species is known are facing a decline in quality of habitat due to tourism related infrastructure development activities.","Nothing is known about the population status of <span style=""font-style: italic;"">Cnemaspis indica,</span> though it appears fairly widespread and common.",Unknown,"<span style=""font-style: italic;"">Cnemaspis indica </span>is endemic to India and is known from five sites in Tamil Nadu, one site in Karnataka and three sites in Kerala in southern Western Ghats (Günther 1864, Kannan and Venkataraman 1998, Sharma 2002, Das and Bauer 2000, Bhupathy and Nixon 2002, S. Pal in litt. February 2011).&#160; It is known largely from high altitudes (1,000-2,200 m asl).",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. <span style=""font-style: italic;"">Cnemaspis indica</span> is known from the existing protected area network as well as reserve forests. This species could be more widespread than current records indicate, hence there is a need to establish its distribution. A record from Nadukani, south of Palghat Gap in Kerala needs taxonomic re-evaluation.",Indomalayan,,False,False,Global
242,1491874,177540,Ophiophagus hannah,Vulnerable,A2acd,2012,2011-09-01 00:00:00 UTC,3.1,English,"<em>Ophiophagus hannah</em> has been assessed as Vulnerable. This species has a wide distribution range, however, it is not common in any area in which it occurs (with the apparent exception of Thailand, and there only in forested areas), is very rare in much of its range, and has experienced local population declines of over 80% over 10 years in parts of its range. Pressure on this species from both habitat loss and exploitation are high throughout this snake's range, and while no quantitative population data is available, it can be conservatively estimated that the population size has declined globally by at least 30% over an estimated three-generation period of 15-18 years. More detailed population monitoring in the more poorly-known parts of this snake's range may reveal that this is a conservative estimate.","This species is found in a variety of habitats, primarily in pristine forests, but it can also be found in degraded forest, mangrove swamps and even agricultural areas with remnants of woodland. It has also been found swimming in rivers in non-forested land and probably occurs in palm oil plantations (R. Inger pers. comm. 2010), however it is not yet clear whether oil palm plantations can support viable populations of this species (M. Auliya pers. comm. 2011). In India, this species has also been recorded from tea estates in the Western Ghats and Assam (Whitaker and Captain 2004). In Nepal this species is poorly-known, but has been reported primarily from undisturbed Sai forest and from dry high-altitude grasslands (D. Jelić pers. comm. 2012). Females build nests of dead leaves and stay with the eggs until they hatch, which takes 70 days at 28²<sup></sup>C (Whitaker and Captain 2004). Reproductive age in captivity has been estimated at 5-6 years, and this is here conservatively taken to be the generation length in the wild population, although true generation length is probably longer. One individual was reported to have a 6.3 km² home range (Bhaisare <em>et al.</em> 2010), indicating that the species is likely to occur in low population densities, although it is unknown whether this is natural or a result of the depletion of wild populations.","This species is threatened by destruction of habitat due to logging and agricultural expansion, as Southeast Asia is experiencing one of the highest rates of deforestation in the tropics (Sodhi <em>et al.</em> 2009) and this species appears to be most abundant in forested habitats. Snakes can however survive in a range of degraded habitats and so this is unlikely to be the primary threat to this species globally,. The extent to which degraded areas can maintain viable populations of this snake is unknown; in the Chitwan area of Nepal it has been observed that mostly young animals are encountered in agricultural lands, always close to forest, and these areas may simply be feeding grounds, or may be population sinks (D. Jelić pers. comm. 2012). Deforestation is however likely to exert strong pressure at local scales, particularly where snakes are also hunted, and is likely to lead to declines in many of the snakes on which this species feeds (R.P.H. Lilley pers. comm. 2011). In Nepal, the Therai lowlands have undergone a rapid increase in population since the eradication of malaria from this region, and most of this area is now under cultivation or exposed to pollution, with forests remaining only in protected areas (D. Jelić pers. comm. 2012). The king cobra is, however, particularly at risk from the harvesting of individuals for skin, food, pets, and especially traditional Chinese medicine. As the world's largest venomous snake, it is also suffers high levels of persecution by humans throughout its range. The possibility of this snake actually representing a complex of species makes all of these threats even more acute, as individual species within the complex will occur over a smaller area and as smaller populations than the currently recognized <em>Ophiophagus hannah</em>.","The snake remains common in good habitat in Thailand, where it is a  protected species, with no evidence of declines (T. Chan-ard pers. comm. 2011). However, this species is not frequently encountered anywhere else within its wide range.&#160;A population reduction of 30% over 75 years in India has been inferred from the numerous threats to this species, including habitat destruction and harvesting of mature individuals from the wild. A study in northwestern India showed that even though the species has been recorded in diverse habitat types, analysis of observations revealed that the abundance of king cobras is strongly linked to the availability of undisturbed forests (Das <em>et al.</em> 2008), indicating that the destruction of natural forests is likely to be causing significant declines in this species' population. In Nepal, a ""very sharp decline"" in larger individuals has been observed, which is likely to affect the population's reproductive fitness as large female reptiles typically produce the majority of offspring that survive to reproductive age (D. Jelić pers. comm. 2012). Local reports indicate that very large individuals can no longer be found in the Chitwan area of Nepal (D. Jelić pers. comm. 2012). In Viet Nam, the national Red Data Book estimates that this species has declined by more than 80% over 10 years as a result of habitat loss and overharvesting for the leather trade (Dang <span style=""font-style: italic;"">et al</span>. 2007). The surviving population of this snake in Viet Nam may be very small (Q.T. Nguyen pers comm. 2011), as it is encountered more rarely in forest surveys than in the past. The species is rarely seen in Cambodia; T. Neang (pers. comm. 2011) reports as few as three sightings in this country over ten years of surveys. Similarly, only three or four have been recorded in twelve years of recent surveys in Myanmar (G. Wogan pers. comm. 2011).&#160; It is very rare in Indonesia based on data from trade, where it is very much less frequently seen than species of <em>Naja</em> (M. Auliya pers. comm. 2011). The wild population in China was considered to be “very low” in the 1990s  (Zhou and Jiang 2004), which very probably reflects the impact of exploitation and trade of this snake in  China for medicinal purposes. The snake is considered to have declined by over 50% over ten years in this country as a result of exploitation for both subsistence and regional trade (Wang and Xie 2009). Population sizes in Peninsular Malaysia are reportedly small (L. Grismer pers. comm. 2011). Very little information is available on the status of the king cobra in Bali, where it was first reported by de Haas (1950). Presently, subpopulations appear to be small and fragmented, with the snake only known definitively from Negara in the island's west and from Bali Barat National Park. Due to hunting pressure and, particularly, deforestation for agricultural conversion, the snake is likely to be declining on this island (R.P.H. Lilley pers. comm. 2011).",Decreasing,"The King Cobra is widely distributed in South and Southeast Asia, from Nepal (where it is found throughout the lowlands of the Therai region - Schleich and Kästle 2002) and India (from  Uttarakhand in Western Himalayas to Eastern Himalayas, down south along the  Eastern Ghats up to northern Andhra Pradesh, and in the Western Ghats south  of Maharashtra) across southern China (including Hainan Island), southward to the Philippines (where it is widespread) and Indonesia east as far as Sulawesi and Bali (where there are recent records from Negara [R.P.H. Lilley pers. obs. 2011]; Smith 1943, Zhao and Adler 1993, David and Vogel 1996, Whitaker and Captain 2004), as well as the Malaysian territories of Sarawak and Sabah, and Brunei (where a recent record exists from Kuala Belalong Field Centre - J.M. Dehling unpubl. data), on the island of Borneo. It occurs in the Andaman and Nicobar Islands, but is absent from Little Andaman and from the Mentawai Islands off Sumatra. It has a maximum recorded elevation of 2,000 m asl. (Smith 1943).","This species is harvested for skin, food, and especially medicinal purposes in China. It is heavily harvested for the medicinal trade in many parts of its range, particularly Viet Nam, Lao PDR, Cambodia and Myanmar, both for domestic purposes and for export to China. It is also traded in Java and exported to China for medicine, local  consumption and trophies, which is not traceable and so is unregulated (M.  Auliya pers. comm. 2011). In Bali, hunting takes place primarily to supply zoos and international collectors, but the snake is also occasionally found for sale in snake restaurants (R.P.H. Lilley pers. obs. 2011). It is also used in snake wine in Vietnam (Somaweera and Somaweera 2010). It is found in the domestic and international pet trade throughout its range (M. Auliya pers. comm. 2010). Between 2000 and 2011, there was an annual quota of 90 specimens for the pet trade in Indonesia.&#160; Almost 2,000 live animals were exported for the pet and venom trade between 2000 and 2009 from Indonesia, and internationally the medicinal trade in this species is considerably larger. Three thousand specimens from Myanmar, reported to have been ranched, were found in a single shipment from Myanmar to Vietnam in 2006 (CITES trade data), although researchers in this area are unaware of the existence of snake farms in Myanmar (G. Wogan and M. Auliya pers. comm. 2011). The major exporting countries for the pet trade are Indonesia and Malaysia, although it is exported from Peninsular Malaysia only in small numbers (L. Grismer pers. comm. 2011).",Terrestrial,"The species is listed in CITES Appendix II. This species has been regionally assessed in India, China and Vietnam. The Regional India preliminary assessment of Near Threatened was made by the BCPP CAMP, while in China it was assessed as Critically Endangered in the national Red Data Book, and as Endangered in the China Species Red List (Wang and Xie 2009). It is listed as Critically Endangered in the national Red Data Book for Viet Nam (Dang <span style=""font-style: italic;"">et al.</span> 2007), where it is a protected species. There are protected areas within the range of this species which probably provide small safeguards from harvesting pressure. Conservation measures are required to reduce the rate of habitat destruction occurring within its range and to manage the trade levels of this species. Further research into, and monitoring of the population status of, this species is required, as well as research into sustainable harvesting levels. Taxonomic research is also needed to determine if this species actually consists of a complex of species. Educational programmes may help to minimise the persecution of the species. In Royal Chitwan National Park the King Cobra is included in a new project focusing on ecological monitoring of and providing education about large reptiles, run by Nepal's National Trust for Nature Protection, the park authority, and the Zoological Society of London (D. Jelić pers. comm. 2012).",Indomalayan|Palearctic,,False,False,Global
396,2055202,192204,Elaphe taeniura,Vulnerable,A2d,2021,2016-12-27 00:00:00 UTC,3.1,English,"Listed as Vulnerable, in view of a possible population decline estimated at over 30% over the past ten years (principally in China) resulting from overexploitation for the food and skin trade.","It occurs in hilly and rugged terrain covered with wet and dry forests, deciduous and pine forests, and grasslands (David and Vogel 1996). It lives in forest, forest clearings, scrublands, plantations, and near villages. It is often found deep inside caves (up to several kilometres inside) in karst regions, making it one of the world's few true cave-dwelling snakes (David and Vogel 1996).","This species may be threatened by overharvesting. It has a large range, but geographic variation across  its range suggests that this species contains evolutionary distinct  lineages, each having smaller ranges that are more vulnerable to  extinction. Nevertheless, there is no data on the impacts of harvesting on this snake. In the Southern Ryukyus, factors causing the recent population decline of this snake include an increase in roadkills due to the development of a paved road system, and predation by exotic predators such as weasels and peacocks (Ota 2014).","This species is infrequently encountered, although it can be abundant in caves. It is presumed to be declining to some extent as a result of collection in much of its range. The Ryukyu endemic subspecies <em>Elaphe&#160;</em><em>taeniura schmackeri</em>&#160; is uncommon and the frequency of observations has declined in most of the islands within its range (Ota 2014).",Decreasing,"This species occurs from northeastern India across mainland China to Taiwan and the Ryukyu Islands (Japan), southward to Sumatra (Indonesia) and Borneo (Smith 1943; David and Vogel 1996). There are unconfirmed records from the Primorskiy Territory of Russia (a single specimen collected in 1862 close to the Korean border, which may represent an introduction). Pope (1935) suggested that the species' native range extended as far north as the Yangtze River Valley, but had been introduced by people further northward in China. It has not been recorded from Nepal. It is found at elevations of coastal areas to 3,000 m asl.","This species is heavily collected for food. skin, and for the international pet trade in China. There is no trade in India.",Terrestrial,"Taxonomic study is needed to better understand geographic variation (and  infraspecific nomenclature) across the range of this species. It is present in some protected areas. Volume of  trade for food and skins should be monitored. In the Japanese Red Data book the subspecies,&#160;<em>Elaphe&#160;</em><em>taeniura</em><em>&#160;schmackeri</em><em>,</em>&#160;is listed Vulnerable on the basis of a decline in both the population and habitat quality (Ota 2014).",Indomalayan|Palearctic,,False,False,Global
549,2298396,194098,Cnemaspis otai,Vulnerable,D2,2013,2011-02-19 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Cnemaspis otai </span>is known  only from its type locality, Vellore, in Tamil  Nadu. The total extent of occurrence  (EOO) is approximately 50 km<sup>2</sup>.  Given its proximity to the city there is a potential threat to the known habitat from anthropogenic factors. &#160;Hence it is assessed as Vulnerable, and will require reassessment if future research reveals an ongoing threat to this gecko.","The types of <span style=""font-style: italic;"">Cnemaspis otai</span> were collected from the rocks in the scrub jungle at the summit of Balamadi Hill, and at the bottom of the dry well at Vellore Fort. This species was found sympatric with <span style=""font-style: italic;"">Calodactylodes aureus</span>, <span style=""font-style: italic;"">Ophisops beddomei</span>, <span style=""font-style: italic;"">Hemidactylus reticulatus</span>, <span style=""font-style: italic;"">Lygosoma punctatum</span>, <span style=""font-style: italic;"">Psammophilus blanfordanus</span> and <span style=""font-style: italic;"">Sitana ponticeriana</span> (Das and Bauer 2000).","<p>Nothing is known about the specific threats to this species. The hill from where the species is known is adjacent to the city with a historic fort, which may provide some protection to the site. &#160;However, given the proximity of the location to the city of Vellore there are anthropogenic pressures due to tourism-related infrastructure development.</p>",There is no population information available for this species.,Unknown,"<span style=""font-style: italic;"">Cnemapsis otai </span>is  endemic to southern India and is known only from Vellore town, Tamil  Nadu, India (Das and Bauer  2000, Manamendra-Arachchi <span style=""font-style: italic;"">et al. </span>2007). It occurs at elevations between 200 to 225 m asl.",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. <span style=""font-style: italic;"">Cnemaspis otai </span>is  not known from any protected area. Further survey work is  needed to determine whether or not this  species is present elsewhere  and whether there is adequate protection to its known habitat.",Indomalayan,,False,False,Global
551,2299155,194104,Hemidactylus albofasciatus,Vulnerable,B1ab(iii),2013,2011-02-19 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Hemidactylus albofasciatus </span>is so far known from five sites (each treated as a separate location on the Malvan Plateau of the northern Western Ghats in Sindhudurg and Ratnagiri districts of Maharashtra, it has an extent of occurrence of less than 5,000 km<sup>2</sup>, and there is a continuing decline in the extent and quality due to rock collection for construction, and from stone quarrying. Mining is also considered a potential threat. The species is listed as Vulnerable rather than Endangered as it is thought likely to have a somewhat broader distribution (but below 20,000 km<sup>2</sup>) and to occur at more than five locations.","<span style=""font-style: italic;"">Hemidactylus albofasciatus </span>is found on open, rocky crests of hills bearing few patches of scrub surrounded by semi-evergreen forested tracts (Grandison and Soman 1963, Gaikwad <em>et al.</em> 2009).","The major threats to this gecko's habitat are quarrying and the collection of rocks for construction purposes, and livestock grazing. Mining is also a potential threat.","These geckos are locally common in some places of the Malvan Plateau, in the coastal area of Ratnagiri and Sindhudurg districts in Maharashtra.",Unknown,"<span style=""font-style: italic;"">Hemidactylus albofasciatus </span>is endemic to India with poorly-known distribution. It is known only from Maharashtra and has been recorded from Dorle, Dhabil-Ambere and Gavakhadi, in Ratnagiri District (Grandison and Soman 1963) and from Kunakeshwar and Malvan in Sindhudurg District, Maharashtra (Gaikwad <span style=""font-style: italic;"">et al. </span>2009). It has an extent of occurrence of less than 5,000 km<sup>2</sup>, and is known from five localities, although it is thought likely to be somewhat more widespread along the coast north and south of Ratnagiri and Sindhudurg. It occurs at elevations between 20 to 80 m asl.",<p>The species is not in use.</p>,Terrestrial,"There are no known species-specific conservation measures in place. <span style=""font-style: italic;"">Hemidactylus albofasciatus </span>is not known from any protected areas; due to its relatively restricted range and exposure to several major threats, site protection is urgently needed. Studies are required to clarify the distribution, ecological requirements, and population status of this gecko, and to monitor habitat trends.",Indomalayan,,False,False,Global
