,assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
2,511526,13038,Melanochelys tricarinata,Endangered,A4cd,2020,2018-03-14 00:00:00 UTC,3.1,English,"<p>Ongoing surveys indicate that <em>Melanochelys tricarinata</em> is widespread and occurs in localised substantial and secure populations in part of its range. There are reported declines particularly in the eastern part of its range, these likely amount to 50% of the total species’ population over three generations spanning the past and future. Moreover, the species has been subject to a steep increase in (illegal) international pet trade in recent years. Its area of occupancy has not been quantified.</p><p><br/></p>  <p><br/></p>","<p><em>Melanochelys tricarinata</em> is a near-terrestrial species that inhabits the grasslands along the Ganga and Brahmaputra at the foot of the Himalayas and the moist deciduous and wet evergreen forests of the nearby foothill areas up to about 300 m altitude (Das 1991, Schleich and Kästle, 2002). The species apparently is semi-fossorial and active mainly during the wet season; it appears to prefer stream edge habitats (Lucknow Red List Workshop participants Sept. 2005). Diet in the wild is unrecorded, captives accepted a variety of animal and vegetable foods (Das 1991). Up to three clutches of 1–3 large eggs have been reported (Das 1991, Schleich and Kästle 2002).&#160;Estimated age of maturity is about five years; generation length of about 15 years.</p>","<p>Habitat destruction and exploitation for subsistence consumption have been recorded in the eastern part of the range of <em>Melanochelys tricarinata</em> in India (Das 1991, Choudhury <em>et al</em>. 2000). Forest and terai habitat loss in Nepal was considered a significant impact on the species (Lucknow Red List Workshop participants Sept. 2005).<br/><br/>This is apparently the species of choice for the manufacture of curio masks widely sold in tourist and craft markets in South and locally in Southeast Asia (Mitchell and Rhodin, 1996, Choudhury <em>et al</em>. 2000).<br/><br/>In recent years, <em>M. tricarinata</em> appears to have become highly popular in the Asian pet trade, with significant numbers being seen in market surveys and some 2,000 (at least 1,979) live specimens, in at least 15 shipments, having been reported as seized from illegal trade during the period 2000-2015 (CITES CoP 17 Doc 73).&#160;Seized specimens recently include large old specimens, indicating collecting efforts affecting core range areas. All marked Wildlife Institute of India (WII) animals have disappeared (about 120 marked animals, usually about 20–30 encountered per year; no shells found, i.e. unlikely to be local mortality).<br/><br/>There have been confiscations in recent years of this species within both Hong Kong and Bangladesh (presumably animals coming from the Indian terai) (P. Praschag and&#160;S. Singh pers. comm. 2018).</p><p><br/></p>","<em>Melanochelys tricarinata</em> is considered localized, often uncommon, though sometimes locally abundant, especially in Dehradun, Uttaranchal, India (Choudhury <em>et al.</em> 2000; Das 2009). One study found 48 specimens in two years. In Nepal, surveys at a protected area in the terai resulted in 36 specimens found in a 3-month survey effort (Participants Red List Workshop Singapore 2011). Participants of the Tortoise and Freshwater Turtles of Tropical Asia Red List Workshop in Singapore (2018) reported population declines particularly in the eastern part of its range, these likely amount to 50% of the total species’ population over three generations spanning the past and future.",Decreasing,"<p><em>Melanochelys tricarinata</em> inhabits the Himalayan foothill from western Uttar Pradesh to Arunachal Pradesh of northern and northeastern India (with an isolated occurrence in southern Bihar / western West Bengal) and southern Nepal (Iverson 1992, Das 1995, Choudhury <em>et al.</em> 2000). It doubtfully occurred in Bangladesh (P. Praschag pers. comm. 2018).</p>","<em>Melanochelys tricarinata</em> is collected for the subsistence and international food trade. Also, it is sold as pets on international markets and used to create curio masks.",Terrestrial,"<em>Melanochelys tricarinata</em> is included in CITES Appendix I, prohibiting all forms of international commercial trade.<em> Melanochelys tricarinata</em> is also protected under Schedule I of the Indian Wildlife (Protection) Act of 1972 (amended), which includes endangered species that may only be hunted under exceptional circumstances, under license from both federal and provincial authorities (its older synonym <em>Geoemyda tricarinata</em> is listed in Schedule IV, requiring only a small game hunting license to allow collection and local trade). The synonymised name<em> Geoemyda tricarinata</em> should be transferred to IWPA Schedule I.<br/><br/>It has been recorded from several protected areas, including Kaziranga National Park (Assam), Orang WLS (Assam), Dudhwa TR and Corbett TR (UP) in India (Hanfee 1999), and Simlipal Tiger Reserve, and Royal Chitwan in Nepal, and the Whykong Forest Reserve in Bangladesh.&#160;Status surveys, with emphasis on occurrence in effectively protected areas, are needed. Studies of natural history are desirable. Reducing subsistence consumption is desirable, while use for tourist trinkets and illegal pet trade probably need to be limited. Surveys in isolated parts of the species range maybe reveal previously unidentified populations. Identified areas of occurrence require protection. Public education in regions where the species is consumed locally may also be beneficial (Das 2009).",Indomalayan,,False,False,Global
129,1349377,172599,Eutropis clivicola,Endangered,B1ab(iii),2013,2010-08-11 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Eutropis clivicola </span>is endemic to southern Western Ghats of Kerala. Since its discovery in 1984 it has been reported from four localities (each treated here as a separate location) and it has an estimated extent of occurrence below 2,000 km<sup>2</sup>. The habitat of this species in some parts of its range has undergone drastic changes due to anthropogenic factors including tourism related infrastructure development, logging, illegal mining for precious stones, conversion of forested tracts into commercial plantations and forest fires, and declines in habitat quality are ongoing. This species is therefore listed as Endangered, although if further surveys reveal that it occurs more widely its assessment status will need to be reviewed &#160;<span style=""font-style: italic;""></span>","Members of this species have been collected on a road and on a bare patch of land in a secondary forest area, and on large rocks in open spaces in tea plantations (Inger <span style=""font-style: italic;"">et al.</span> 1984). It occurs in lowland plantations and moist deciduous forests (S. Pal pers. comm. March 2011) and has also been recorded from evergreen forests (A. Roy pers. comm. March 2011).","<p>The hill ranges from where the species is known are facing a decline in quality of habitat due to anthropogenic activities including logging, illegal mining  for precious stones, conversion of forested tracts into commercial  plantations and forest fires. Since the discovery of this species in 1984, the type locality Ponmudi has undergone numerous changes (as it is a major tourist destination) that include laying new approach roads for the Ponmudi Hill resort and tourist centre, forest and undergrowth clearing for tourism related development activities, heavy vehicular traffic during peak tourist season. <br/></p>",Nothing is known about the population status of this species.,Unknown,"<span style=""font-style: italic;"">Eutropis clivicola</span> is endemic to the southern Western Ghats of Kerala, India. It is known from Ponmudi (Thirivananthapuram District) (Sharma 2002), Peechi (Thrissur District) (<strong style=""font-weight: normal;"">Joseph and Easa 1997</strong>), Parambikulam Wildlife Sanctuary (Palghat District) and Athirapalli-Vazhachal (Thrissur District), all in Kerala (A. Roy pers. comm. March 2011). All known records were taken at elevations ranging from 260 to 350 m asl (Inger <span style=""font-style: italic;"">et  al.</span> 1984). The lizard has an estimated extent of occurrence of 1,897 km<sup>2</sup>.",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. As <span style=""font-style: italic;"">Eutropis clivicola</span> is  known from a few areas close to the type locality, further surveys are recommended to establish its distribution.",Indomalayan,,False,False,Global
154,1355400,172629,Dasia subcaerulea,Endangered,"B1ab(ii,iii)+2ab(ii,iii)",2013,2010-04-25 00:00:00 UTC,3.1,English,"<span lang=""EN-US""><em>Dasia subcaerulea</em>&#160;is known from Bodinayakkanur, in High Wavy mountains near Chinnamanur and on the banks of Thambiraparani &amp; Sarvalar rivers in Kalakkad-Mundunthurai Wildlife Sanctuary, Tamil Nadu, India. Its extent of occurrence (EOO) is less than 5000 km<sup>2</sup>. The forest habitat where it occurs has undergone drastic changes in the past 60 years and anthropogenic pressures to the habitat such as tourism and increase in human settlements may be likely threats to this species. The species is therefore listed as Endangered.","The second known specimen was collected after a forest fire, indicating that the species might have occurred in forest tracts near Bodinayakannur, Theni district, Tamil Nadu. This site is presently characterized by tropical dry deciduous type of forest. Additional specimens have been found in reasonably well-preserved broad-leaved galley forests along the banks of rivers in Mundhunthurai (Joshua and Sekar 1984). It is a diurnal and arboreal species that has been reported to show preference for undisturbed habitats, although one specimen from Mundhunthurai was recorded in the Forest Department maintained dormitory (Karthikeyan 1991).","The quality of this lizard's apparent dry forest habitat has undergone drastic declines in extent and quality over the past 60 years (C. Srinivasulu pers. comm. 2013), due to residential development, tourism and associated development. Bodinayakanur is now a human settlement. Smith (1949) reports that the second specimen was partly damaged due to a forest fire. The impacts on this species are unclear, however it has only been recorded from relatively well-preserved forest. Most of the species' known localities fall within protected areas, however declines in habitat quality have been recorded within one of these sites, Kalakkad Mundunthurai Wildlife Sanctuary, and so the extent to which protected areas benefit this species is uncertain.","<span style=""font-style: italic;"">Dasia subcaerulea </span>is known from just two specimens collected in the High Wavy Mountains, and from ""quite a number"" of additional records elsewhere in Tamil Nadu (Wickramasinghe <em>et al.</em> 2011). It appears not to have been recorded at all between 1949 and 1984. No information on population trends is available. Studies specifically looking for this species since 2007 have not rediscovered it in the High Wavy Mountains.",Unknown,"<em>Dasia subcaerulea </em>is endemic to Western Ghats, India. Until recently it was thought to be known from only two sites in the  High Wavy mountains and Bodinayakanur, Theni District, Tamil Nadu, India (Smith 1949), with no more recent recorded sightings. Specimens recorded since 1984 have, however, been misidentified as <em>D. haliana</em> (see Wickaramasinghe <em>et al.</em> 2011), which is known from records taken from two sites within Mundanthurai Wildlife Sanctuary, both in the Tirunelveli District of Tamil Nadu (Joshua and Sekar 1984, Karthikeyan 1991), and from Kalakad-Mundanthurai Tiger Reserve (Johnsingh 2001, Kumar <span style=""font-style: italic;"">et al. </span>2001). A recent record from Kudremukh (Vasudevan <span style=""font-style: italic;"">et al.</span> 2006) needs to be verified. This species has an estimated extent of occurrence of 3,054 km<sup>2</sup>. It occurs at elevations between 300 to 1,500 m asl.",The species is not in use.,Terrestrial,"<p>There are no known species-specific conservation measures in place. It occurs in protected areas, and parts of Kalakkad Mundhunthurai Tiger Reserve are reported to be well-managed, although changes in habitat quality have been recorded within the reserve. Studies specifically looking for this species between 2007 to 2010 have not resulted in locating it in the High Wavys or in Bodinayakanur, however following recent taxonomic clarification further surveys should be conducted at known sites and in additional areas of Tamil Nadu. More information is needed on the natural history of this poorly-known lizard, and its exposure and sensitivity to threats.<br/></p>",Indomalayan,,False,False,Global
160,1356716,172636,Cnemaspis goaensis,Endangered,B1ab(iii),2013,2010-08-11 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Cnemaspis goaensis</span> is known from three locations, one each in Goa and Karnataka. Though general threats to this species are not known the areas from where this species is reported have undergone a decline in quality of habitat. The extent of occurrence is less than 1,000 km<sup>2</sup>, and though possibly an underestimate, is believed to be definitely less than 5,000 km<sup>2</sup>. &#160;It is therefore assessed as Endangered. &#160;It is recommended that more studies are needed to establish its distribution and impacts of threats on the species.","This species is reported to be common in the moist deciduous forests near Cotigao village, South Goa, Goa, &#160;and Mathigatta Village in Uttara Kannada, Karnataka. Nothing is known about the ecology of this species except   that it seems to be a humid forest dweller and its population is locally abundant (V.B. Giri pers. comm. March 2011). &#160;It is found commonly under rotting logs and stones, bark of trees, and on walls of habitation (S. Sondhi pers. comm. March 2011).","<p>Little is known about the threats to this species. However, the sites from where it is reported are facing a decline in quality of habitat due to anthropogenic activities including infrastructure development like housing and roads. <br/></p>","After the type description from Poinguinim, Canacona taluka in South Goa, Goa (Sharma 1976) where it has been reported as uncommon, <span style=""font-style: italic;"">Cnemaspis goaensis </span>has been reported from the vicinity of Cotigao village where it is locally abundant (V.B. Giri pers. comm. March 2011). &#160;It is very common in forests and near habitation (S. Sondhi pers. comm. March 2011).",Unknown,"<span style=""font-style: italic;"">Cnemaspis goaensis </span>is endemic to India and is   known from the forests of Poinguinim and Cotigao in Canacona taluka, South Goa, Goa (Sharma 1976) and Mattigattha, Uttara Kannada, Karnataka (S. Sondhi in litt. February 2011). &#160;It has also been recorded from Cotigao Wildlife Sanctuary (V.B. Giri pers. comm. March 2011). &#160;The estimated extent of occurrence between the known localities is less than 1,000 km<sup>2</sup>. &#160;However, this is probably an underestimate, partly due to the spatial configuration of the three known localities. This species occurs at elevations between 50 to 100 m asl.",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. <span style=""font-style: italic;"">Cnemaspis goaensis </span>is known from one protected area -- Cotigao Wildlife Sanctuary in South Goa. &#160;Its distribution range needs to be established.",Indomalayan,,False,False,Global
169,1358712,172648,Cnemaspis wynadensis,Endangered,B1ab(iii),2013,2010-09-01 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Cnemaspis wynadensis</span> is known from Silent Valley National Park and Wyanad in Kerala, two locations where it is has an extent of occurrence of less than 5,000 km<sup>2</sup>.&#160; The quality and extent of forest habitats from which this lizard has been reported are declining due to expansion of human habitation and commercial agriculture, and it is therefore is assessed as Endangered.","<span style=""font-style: italic;"">Cnemaspis wynadensis </span>is known  from tropical evergreen forests in the Western Ghats (Das and Bauer 2000).","<p>Nothing is known about the specific threats to this species. However, the hill ranges from where the species is known are facing a decline in quality of habitat due to expansion of agriculture, human habitation and tourism related activities.</p>",Nothing is known about the population status of this species.,Unknown,"<span style=""font-style: italic;"">Cnemapsis wynadensis </span>is  endemic to Western Ghats, India. It is known only  from two sites, namely from Wayanad and Silent Valley  National Park, Palakkad District, Kerala (Smith 1935, Das and Bauer 2000, Bauer 2002). &#160;The extent of occurrence is less than 5,000 km<sup>2</sup>. There is a report from Sasthanada, Thiruvananthapuram District, Kerala (J. Jose pers. comm. March 2011), which may be a species closely related to <em>C. wynadensis</em>. Other reports in the southern Western Ghats include Parambikulam, Kavalai, Cochin and Thrissur (Tikader and Sharma 1992) need evaluation. It occurs at elevations between 1,800 to 2,500 m asl.",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. <span style=""font-style: italic;"">Cnemaspis wynadensis </span>is known  from Silent Valley National Park,  Kerala. There is clearly a  need for  improved habitat protection at the type locality, Wayanad, Kerala. Further survey work is needed to establish its distribution.",Indomalayan,,False,False,Global
174,1360027,172654,Ahaetulla perroteti,Endangered,B1ab(iii),2013,2011-02-28 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;""></span><span style=""font-style: italic;"">Ahaetulla perroteti</span> is endemic to Nilgiri Hills in the Western Ghats. Though general  threats to this species are not known the areas from where this species  is reported have undergone a decline in quality of habitat due to anthropogenic pressures and due to conversion of grasslands into commercial plantations. Its extent  of occurrence is about 1,820 km<sup>2</sup> it is therefore assessed as Endangered. &#160;It is recommended that more  studies are needed to establish its distribution, ecology, populations status and impacts of threats  on the species.","<span style=""font-style: italic;"">Ahaetulla perroteti </span>occurs&#160;in grasslands in shola patches. The breeding season of this ovoviviparous snake is reported to be between July to September (Wall 1919). It is not known from modified habitats.","Grasslands in the Nilgiris have been converted over the last 100 years to pine, eucalyptus, tea and wattle plantations. There is a decline in the quality of  its remaining habitat due to anthropogenic disturbance.","<span style=""font-style: italic;"">Ahaetulla perroteti </span>can be common within its restricted range.",Unknown,"<span style=""font-style: italic;"">Ahaetulla perroteti</span> is endemic to the Nilgiri Hills of the Western Ghats, India. It has been reported from grassland patches in shola forests (Beddome, R.H. California Academy of Sciences Herpetology Collection, Ganesh, S.R. (in litt.) dt. 10.01.2011, Chandramouli, S.R. (in litt.) dt. 12.02.2011, Achyuthan pers. comm.) between 2,000 m to 2,800 m asl. There are doubtful records from outside of the Nilgiri Hills (Smith 1943, Ishwar <span style=""font-style: italic;"">et al.</span> 2001, Zacharias 1997).",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. <span style=""font-style: italic;"">Ahaetulla perroteti </span>is a rare colubrid endemic to the Western Ghats. It occurs in Nilgiri Biosphere Reserve. Further survey work is needed to understand its ecology, population status and trends.",Indomalayan,,False,False,Global
196,1366043,172681,Rhinophis travancoricus,Endangered,B1ab(iii)+2ab(iii),2013,2010-08-01 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Rhinophis travancoricus </span>is known from five sites from the states of Kerala and Tamil Nadu, each treated here as a separate location. It is thought to prefer soft soils and the area from which it has been reported has witnessed soil compaction, rapid   expansion of commercial  plantations, agriculture and human settlements, due to which the quality and quantity of habitat has declined and will continue to do so in future. The extent of occurrence and area of occupancy of this species based on the few known records is less than 500 km<sup>2</sup>, hence this species is assessed as Endangered.<em><br/></em>","Rajendran (1985) reports this snake from forested tracts and rubber plantations, in regions experiencing fairly warm climate with summer temperatures well above 20°C. It is burrowing snake.",The current distribution of this species is largely under cultivation. A study (Rajendran 1985) identified two new subpopulations in yam and rubber plantations and indicates that the species is restricted to soft soils left untouched by planters. Unlike other hardy uropeltids these were not encountered in hard soils of plantations. Decline in habitat quality due to habitat conversion for commercial plantations and soil compaction seems to be a major threat to this species.,"Nothing is known about the population status of <span style=""font-style: italic;"">Rhinophis travancoricus, </span>which is known from only five records and has not been recorded since 1972.",Unknown,"<span style=""FONT-STYLE: italic"">Rhinophis travancoricus </span>is endemic to the Western Ghats, India and is known from three historic localities (one each in Kottayam, Idduki, and Thiruvananthapuram districts) in Kerala (Wall 1923, Smith 1943), and two recent localities (Muathupuzha in Kerala, and Ambadi-Vannaparai in Tamil Nadu; Rajendran 1985). It has been recorded at elevations between 0 and 1,200 m asl.",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. This species is currently not known from any protected area, but further surveys are needed in protected areas nearby where it has been recorded (Peppara, Neyyar, Shendurney, Periyar, Idukki and Thatekkad). It is a unique example of range-restricted species with a wide altitudinal range, it is a species of soft soil and conversion of habitats for commercial plantations appear to have negatively affected this species. Research is needed to establish its population trends and identify the threats.",Indomalayan,,False,False,Global
214,1371538,172706,Eurylepis poonaensis,Endangered,B1ab(iii),2013,2010-04-28 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Eurylepis poonaensis</span>&#160; is known only from the type description and from recent collections at three additional localities in Pune and Satara Districts, and has an estimated extent of occurrence between these localities (each considered to represent a single locations based on threats from rapid urbanization and tourism) of 1,324 km<sup>2</sup>. The habitat at the type locality and in its vicinity is threatened due to rapid urbanization and tourism, representing a continuing decline in the extent and quality of the lizard's habitat, and&#160;this species is therefore listed as Endangered.",This lizard occurs in grasslands and scrub jungles in the hill ranges in and around Pune and nearby temple towns in Poona district and Satara district.,The hill ranges of Pune and Satara districts are under heavy pressure from rapid urbanization and tourism related developmental activities.,"Nothing is known about the population of this species, and each of the recent site records is represented by only a single specimen.",Unknown,"Until recently <span style=""font-style: italic;"">Eurylepis poonaensis </span>was known only from the type locality in Katraj Ghat, Pune District, Maharashtra, India, from where it had not been collected since 1970. Between 2006 and 2007, specimens were collected from Saswad, Chatursinghi and Katraj in Pune District, and from Jaijuri in Satara District, by Vivek Gour-Broome (S. Thakur pers. comm. March 2011), increasing its known distributional extent to 1,324 km<sup>2</sup>. It occurs at elevations between 600 and 800 m asl.",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place. As the majority of site records for this species are recent, it is likely that its distribution is still incompletely known, and thorough surveys are required to obtain additional records within Maharashtra. Research is recommended to clarify this lizard's taxonomy, natural history and responses to urbanization and tourism. Protection of grassland and scrub forest habitat within this rapidly-developing area may be necessary.",Indomalayan,,False,False,Global
223,1375696,173021,Otocryptis beddomii,Endangered,B1ab(iii),2013,2010-12-27 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;""></span><em></em>Listed as Endangered on the basis that it has an extent of occurrence of 2,500 km<sup>2</sup> encompassing two locations defined by a threat from land clearance and, while it is relatively common within its restricted distribution, there are threats from forest fires and forest management practices that are causing a decline in the quality and extent of its habitat, and which may cause local population declines.","<span style=""font-style: italic;"">Otocryptis beddomii</span> is a small sized terrestrial lizard commonly encountered among leaf-litter and forest floor vegetation in the Western Ghats. In the Shendurney Wildlife Sanctuary, the maximum number of juveniles sightings were in October (Jose <span style=""font-style: italic;"">et al. </span>2007).","<p><span style=""font-style: italic;"">Otocryptis beddomii</span> has been recorded around <span style=""font-style: italic;"">Myristica</span> swamps area in southern Kerala (Jose <span style=""font-style: italic;"">et al</span>. 2007) and this habitat was under threat due to conversion into agriculture lands and betelnut gardens. At present, clearing the forest edges for firelines disturbs the microhabitat of this species (Jose <span style=""font-style: italic;"">et al. </span>2007). <br/></p><p><br/></p><p><br/></p><p><br/></p>","It appears to be common in some lowland forests bordering <span style=""font-style: italic;"">Myristica</span> swamps. In Shendurney Wildlife Sanctuary and Kulthupuzha in Kollam district, Kerala the population density of this species was reported to be 4.25 individuals per hectare (Jose <span style=""font-style: italic;"">et al. </span>2007). Chandramouli (2009) reports that this species occurs in high abundance in the mid-elevation rainforest (300-600 m)",Stable,"<span style=""font-style: italic;"">Otocryptis beddomii</span> is endemic to the Western Ghats, India. It has been reported from Sivagiri Ghats in the Cardamom hills, Kerala, Ponmudi, Thiruvananthapuram district, Kerala, Anchal Forest Range, Kollam district, Kerala, Kulathapuzha, Kollam district, Kerala, Shendurney Wildlife Sanctuary, Kollam district Kerala, Kalakkad Munduthurai Tiger Reserve, Tamil Nadu (Smith 1935, Inger <span style=""font-style: italic;"">et al. </span>1984, Johnsingh 2001, Jose <span style=""font-style: italic;"">et al</span>. 2007, Chandramouli 2009). This species occurs at elevations between 150 and 1,100 m asl. The species has an estimated extent of occurrence between known sites of 2,500 km<sup>2</sup>; its area of occupancy, assuming that it occurs over a 50 km<sup>2</sup> area at each known locality, is taken to be 700 km<sup>2</sup>.",The species is not in use.,Terrestrial,"There are no known species-specific conservation measures in place for this species. <em></em>This species occurs in three protected areas, which comprises most of its distribution.",Indomalayan,,False,False,Global
265,1531148,178314,Hemidactylus scabriceps,Endangered,"B2ab(iii,iv)",2021,2019-09-02 00:00:00 UTC,3.1,English,"Listed as Endangered on the basis that this species has a known area of occupancy in India (20 km<sup>2</sup> based on records of subpopulations known to be extant) and due to its specific restriction to a highly threatened habitat that survives mainly due to efforts to conserve the Black Buck, it is not likely to have a much more extensive area of occupancy in India, and very small areas of remnant habitat remain at each locality, with more than half of the historically known localities having been lost over the last century, it occurs as a severely fragmented population, and there is a continuing decline in the extent and quality of its habitat at each remaining Indian locality and in at least part of the presumed Sri Lankan range. This assessment is based on Indian records, and may consequently be precautionary, pending clarification that recently discovered Sri Lankan subpopulations correspond to this species, since while this is thought likely to be the case this assignment is in need of validation.","This species has been recorded from species of dry, sandy scrub-clad lowlands (Ganesh and Chandramouli 2010) devoid of rocky outcrops, including areas close to the seashore (Ganesh <em>et al</em>. 2017). Srikanthan <em>et al.</em> (2018) recorded it from both grassland and dry thorn scrub, as well as in coconut groves and paddy fields. The historic record of this species in Sri Lanka is from coastal sand flats (A. Bauer pers. comm. March 2011). Species distribution modelling suggests a preference for low-elevation areas with a mean annual temperature of around 28.5 °C, rainfall below 1,000 mm a year, and relatively little difference between maximum and minimum temperatures (Srikanthan <em>et al</em>. 2018). It is strictly terrestrial and nocturnal, and shelters beneath rocks during the day (Srikanthan<em> et al.</em> 2018). In Sri Lanka it occurs in the arid zone, where it has been found beneath stones and logs in sparsely-vegetated scrub on sandy soils, and has been found in retreat sites by day (D. Jayesekara pers. comm. 2019). It exhibits strong evidence of territoriality and intraspecific aggression, with individuals separated from one another by 15-20 m (Srikanthan <em>et al.</em> 2018). Ganesh <em>et al.</em> (2017) reported that gravid females were active both in July, in the pre-monsoon season, and following the monsoon in December an February.","Habitat loss in the form of burning of grasslands and conversion into real estate, grazing and tapioca plantations, and multiple invasive plant species that increase fire risk and shade its sandy habitats. <em>Prosopis </em>is the most widespread of these, affecting most formerly suitable open habitat within its range. Sand quarrying in and around river beds and coastal dunes are causing population decline. The known distribution is almost entirely human-modified. This species only survives at all because of efforts to conserve the Black Buck along the Coromandel coastal plains, a species which is dependent on similar grassland habitat. Urban development and rural settlement threaten the species in Sri Lanka, although it occurs in habitat in this country that is not generally subject to major threats; on Mannar Island there are multiple widespread threats including wind power and tourist industry development.","This species is poorly-sampled and underrepresented in collections (Bauer <em>et al. </em>2010). Ganesh and Chandramouti (2010) reported the first record in over a century; other literature reports had previously been overlooked as they misidentified the species as the similar <em>Hemidactylus reticulatus&#160;</em>(Ganesh <em>et al</em>. 2017). It is an apparently rare species (Srikanthan <em>et al.</em> 2018), however in Tuticorin these geckos are reasonably common under boulders in fallow land at the three known sites (S. Sondhi pers. comm. March 2011). Ganesh<em> et al</em>. (2017) recorded 14 individuals in 55 man-hours of fieldwork across six localities. Declines have been observed in Coimbatore and Tuticorin (Srikanthan <em>et al</em>. 2018).&#160; Five of the nine Indian localities are known to have been lost over a period of about a century. Near Trichy, all original habitat has been lost and the species no longer survives here. The species can no longer be found at a historical locality, Adayar, following urbanisation in Chennai (S.R. Ganesh pers. comm. 2019). The Coimbatore locality was destroyed in 2018, and if the lizard survives here at all it is thought to be confined to a 17 acre temple complex (N. Achyuthan pers. comm. 2019). Recent records from Sri Lanka have been of small numbers of individuals: three within one hectare at Mantai, and three in Chundikulam.",Unknown,"This species&#160;is found in Tamil Nadu in India, and in Sri Lanka. In Tamil Nadu this species is known from Adyar, near Chennai (Chennai District), Ramanthapuram (Ramanathapuram District), Mannampandal (Nagapattinam District) (Ganesh and Chandramouli 2010) and Tuticorin (Tuticorin district) (S. Sondhi pers. comm. March 2011, Ganesh <em>et al.</em> 2017). Ganesh <em>et al.</em> (2017) and Srikanthan <em>et al</em>. (2018) report multiple new localities across the south of the Indian peninsula ranging from the coast to the foothills of the Western Ghats and the Coimbatore Plateau. Species distribution modelling suggests that the species could range more widely in dry areas of Tamil Nadu and Kerala (Srikanthan <em>et al. </em>2018). The gecko was historically recorded from Mariccukatte (=Marichchukkaddi) in the Northern Province of Sri Lanka, based on a record of three specimens (Smith and Deraniyagala 1934). Taylor (1953) reported that he did not find this species, it has not been found in a survey of Sri Lanka's northern islands (De Silva 1957), and the only recent published report of its occurrence in Sri Lanka (in the northernmost tip of the Eastern Province) is not accompanied by any exact locality data, known specimens, photographs or ecological information (Somaweera and Somaweera 2009). Srikanthan <em>et al.</em>&#160;(2018) report that no recent records exist from this country, however, recent unpublished records have been taken in 2016 from Chundikulam National Park (D. Jayesekara and M. Wickramasinghe unpubl. data) and in 2018 from Mannar Island and Uramalai (Dulan Vidanapathiratna and S. Kannishka pers. comm. 2019). Photographs taken by D. Madhavi in 2018 Giant's Tank, close to Mannar, are likely to represent this species (S.R. Ganesh pers. comm. 2019). It has been recorded from 10 to 385 m asl in Tamil Nadu (Srikanthan<em> et al.</em> 2018).",<p>The species is not in use.</p>,Terrestrial,"There are no known conservation measures in place for this species, which is not known to occur in protected areas in India other than a single, 14 km<sup>2</sup> protected area Vallanadu Wildlife Sanctuary near Tuticorin. In Sri Lanka it appears to occur in the Giant's Tank Sanctuary. Further research into the taxonomy and distribution and biology of this gecko is needed, and into its exposure to threats. Recognition of grasslands and shrublands as important wildlife habitats maintained without afforestation is recommended (N. Achyuthan and S.R. Ganesh pers. comm. 2019). Field surveys in Pt. Calimere Sanctuary are recommended to try to identify whether it occurs here. Mostly unprotected in Sri Lanka.&#160;&#160;It is entirely dependent on continued management of known sites for its survival in India. Taxonomic research is underway (M. Wickramasinghe pers. comm. 2019) to clarify whether recently rediscovered subpopulations in India and Sri Lanka are conspecific. Thorough evaluation of Sri Lankan records, including collection of specimens, is needed, and clarification of its distribution in this country and the extent of threats.",Indomalayan,,False,False,Global
